scaled_distance,arrival_time,reference
0.188486983,0.007921596,"(Goodman, 1960)"
0.231974851,0.010043284,"(Goodman, 1960)"
0.279529621,0.013066903,"(Goodman, 1960)"
0.33016943,0.014917011,"(Goodman, 1960)"
0.373852822,0.017933239,"(Goodman, 1960)"
0.423235431,0.02212955,"(Goodman, 1960)"
0.469572888,0.024594366,"(Goodman, 1960)"
0.565620374,0.033713699,"(Goodman, 1960)"
0.653877747,0.041612453,"(Goodman, 1960)"
0.838188534,0.06173253,"(Goodman, 1960)"
0.949085897,0.07421488,"(Goodman, 1960)"
1.11974683,0.099088161,"(Goodman, 1960)"
1.321597061,0.125567912,"(Goodman, 1960)"
1.495884174,0.159048455,"(Goodman, 1960)"
1.693477073,0.196265201,"(Goodman, 1960)"
1.877815702,0.235894141,"(Goodman, 1960)"
2.357262594,0.349868507,"(Goodman, 1960)"
2.838883333,0.492280414,"(Goodman, 1960)"
3.279983864,0.657113317,"(Goodman, 1960)"
3.790341318,0.854537344,"(Goodman, 1960)"
4.202130291,1.054245683,"(Goodman, 1960)"
4.757194058,1.300935242,"(Goodman, 1960)"
5.610483488,1.830038897,"(Goodman, 1960)"
6.620595594,2.380423131,"(Goodman, 1960)"
8.483544024,3.720649764,"(Goodman, 1960)"
9.40699607,4.471905745,"(Goodman, 1960)"
11.33542726,5.818212048,"(Goodman, 1960)"
13.10167907,7.371288168,"(Goodman, 1960)"
15.1488938,8.863869765,"(Goodman, 1960)"
19.02756748,12.15626794,"(Goodman, 1960)"
23.41317773,15.8197724,"(Goodman, 1960)"
28.21822838,20.05211567,"(Goodman, 1960)"
33.31761208,24.11810831,"(Goodman, 1960)"
37.73289456,28.2477084,"(Goodman, 1960)"
41.8640382,31.39397233,"(Goodman, 1960)"
47.41190142,36.7693753,"(Goodman, 1960)"
57.16387431,44.23564401,"(Goodman, 1960)"
0.16284481,0.007604766,"(Kingery, 1966)"
0.20035943,0.010026614,"(Kingery, 1966)"
0.246680164,0.012065449,"(Kingery, 1966)"
0.285225397,0.014508531,"(Kingery, 1966)"
0.323023745,0.016992741,"(Kingery, 1966)"
0.365831167,0.019902306,"(Kingery, 1966)"
0.405806733,0.022704053,"(Kingery, 1966)"
0.488996983,0.029539307,"(Kingery, 1966)"
0.577145617,0.037433222,"(Kingery, 1966)"
0.653505439,0.045002239,"(Kingery, 1966)"
