scaled-distance_english,scaled_at_english,scaled-distance_metric,scaled_at_metric
1.49,0.14,0.591079779,0.182210293
1.72,0.18,0.682320282,0.234270377
2.26,0.27,0.896537115,0.351405565
3.16,0.54,1.253565169,0.702811131
4.75,1.17,1.884314732,1.52275745
6.01,1.85,2.384154008,2.407778874
7.46,2.75,2.959365874,3.579130759
9.49,4.15,3.764662485,5.401233691
20.34,13.27,8.068834031,17.27093279
35.62,26.09,14.130377,33.95618964
42.49,32.05,16.85569115,41.71314212
81.36,66.31,32.27533612,86.30260386
153.7,131.1,60.97245775,170.6269245
316.4,272.1,125.515196,354.1387198
