scaled_distance,y,y0,y-y0,y-y0/y0
0.208,0.0100,0.0101,-0.0001,-0.009901
0.265,0.0126,0.0126,0.0000,0.000000
0.313,0.0151,0.0151,0.0000,0.000000
0.355,0.0176,0.0175,0.0001,0.005714
0.393,0.0201,0.0201,0.0000,0.000000
0.428,0.0226,0.0226,0.0000,0.000000
0.467,0.0251,0.0255,-0.0004,-0.015686
0.487,0.0285,0.0272,0.0013,0.047794
0.492,0.0276,0.0276,0.0000,0.000000
0.521,0.0301,0.0301,0.0000,0.000000
0.546,0.0326,0.0323,0.0003,0.009288
0.578,0.0352,0.0352,0.0000,0.000000
0.633,0.0402,0.0400,0.0002,0.005000
0.681,0.0452,0.0446,0.0006,0.013453
0.738,0.0502,0.0503,-0.0001,-0.001988
0.789,0.0546,0.0551,-0.0005,-0.009074
0.840,0.0603,0.0607,-0.0004,-0.006590
0.977,0.0703,0.0701,0.0002,0.002853
1.030,0.0865,0.0821,0.0044,0.053593
1.142,0.0940,0.0959,-0.0019,-0.019812
1.285,0.1204,0.1149,0.0055,0.047868
1.492,0.1354,0.1467,-0.0113,-0.077028
1.571,0.1786,0.1601,0.0185,0.115553
1.671,0.1910,0.1838,0.0072,0.039173
1.718,0.1806,0.1892,-0.0086,-0.045455
2.260,0.2708,0.2991,-0.0283,-0.094617
2.337,0.3480,0.3172,0.0308,0.097100
2.342,0.3055,0.3184,-0.0129,-0.040515
2.440,0.3400,0.3430,-0.0030,-0.008746
2.970,0.5000,0.4930,0.0070,0.014199
3.113,0.5179,0.5386,-0.0207,-0.038433
3.164,0.5417,0.5551,-0.0134,-0.024140
3.405,0.6385,0.6357,0.0028,0.004405
3.460,0.6490,0.6544,-0.0054,-0.008252
3.872,0.7830,0.8123,-0.0293,-0.036070
4.198,0.9018,0.9462,-0.0444,-0.046925
4.356,1.0000,1.0110,-0.0110,-0.010880
4.530,1.1000,1.0844,0.0156,0.014386
4.657,1.1190,1.1454,-0.0264,-0.023049
4.746,1.1740,1.1881,-0.0141,-0.011868
4.970,1.2900,1.2956,-0.0056,-0.004322
4.990,1.2750,1.3052,-0.0302,-0.023138
5.024,1.3190,1.3210,-0.0020,-0.001514
5.550,1.6100,1.5670,0.0430,0.027441
5.574,1.5500,1.5800,-0.0300,-0.018987
5.769,1.6480,1.6853,-0.0373,-0.022133
5.841,1.7500,1.7241,0.0259,0.015022
6.012,1.8510,1.8165,0.0345,0.018993
6.109,1.7920,1.8689,-0.0769,-0.041147
6.720,2.2300,2.2164,0.0136,0.006136
6.843,2.3450,2.2927,0.0523,0.022812
6.893,2.3380,2.3237,0.0143,0.006154
7.394,2.5790,2.6343,-0.0553,-0.020992
7.459,2.7540,2.6746,0.0794,0.029687
7.761,2.7840,2.8670,-0.0830,-0.028950
7.800,2.9400,2.8920,0.0480,0.016598
8.282,3.2140,3.2118,0.0022,0.000685
8.762,3.5560,3.5539,0.0021,0.000591
9.350,4.0000,3.9750,0.0250,0.006289
9.493,4.1530,4.0751,0.0779,0.019116
9.513,4.0370,4.0896,-0.0526,-0.012862
11.710,5.7610,5.7680,-0.0070,-0.001214
14.070,7.6900,7.6595,0.0305,0.003982
17.020,10.0900,10.2180,-0.1280,-0.012527
17.560,10.4500,10.7040,-0.2540,-0.023729
20.340,13.2700,13.0720,0.1980,0.015147
35.130,25.6300,25.6196,0.0104,0.000406
35.620,26.0900,26.0704,0.0196,0.000752
42.490,32.0500,32.0920,-0.0420,-0.001309
46.730,36.5400,35.6224,0.9176,0.025759
58.550,46.6400,45.7820,0.8580,0.018741
81.360,66.3100,65.4968,0.8132,0.012416
116.800,99.1700,96.7160,2.4540,0.025373
153.700,131.1000,129.3300,1.7700,0.013686
166.800,144.4000,140.4400,3.9600,0.028197
199.900,169.1000,169.9100,-0.8100,-0.004767
250.400,217.5000,215.3200,2.1800,0.010124
316.400,272.1000,271.7760,0.3240,0.001192
