scaled-distance_english,scaled_ii_english,scaled-distance_metric,scaled_ii_metric
2.34,29.24,0.928272942,262.3864435
3.11,20.06,1.233730277,180.0093042
3.11,20.68,1.233730277,185.5729019
3.11,21.24,1.233730277,190.5980868
4.2,18.49,1.666130921,165.9208393
4.2,21.83,1.666130921,195.8924782
5.77,12.13,2.288946527,108.8490957
5.77,12.19,2.288946527,109.3875084
5.77,13.26,2.288946527,118.9892011
5.77,13.81,2.288946527,123.9246506
8.28,9.05,3.284658101,81.21057844
8.28,9.05,3.284658101,81.21057844
8.28,9.13,3.284658101,81.928462
8.28,9.15,3.284658101,82.10793289
8.28,9.63,3.284658101,86.41523429
8.28,10.36,3.284658101,92.96592183
8.28,10.92,3.284658101,97.9911068
11.71,6.61,4.645331686,59.31512966
11.71,6.86,4.645331686,61.55851581
11.71,6.89,4.645331686,61.82772215
11.71,7.14,4.645331686,64.07110829
11.71,7.41,4.645331686,66.49396533
17.56,4.05,6.96601404,36.34285554
17.56,4.85,6.96601404,43.52169121
17.56,4.87,6.96601404,43.7011621
17.56,4.87,6.96601404,43.7011621
17.56,4.9,6.96601404,43.97036844
17.56,4.94,6.96601404,44.32931022
17.56,5.09,6.96601404,45.6753419
17.56,5.63,6.96601404,50.52105598
35.13,2.4,13.93599506,21.53650699
35.13,2.44,13.93599506,21.89544877
35.13,2.49,13.93599506,22.344126
58.55,1.3,23.22665843,11.66560795
58.55,1.35,23.22665843,12.11428518
199.9,0.42,79.29989787,3.768888723
199.9,0.43,79.29989787,3.858624169
428.4,0.18,169.9453539,1.615238024
