scaled_distance,scaled_impulse,reference
0.134641214,297.6587853,"(Department of Defense, 1969)"
0.175491173,193.2827459,"(Department of Defense, 1969)"
0.252596007,91.55430432,"(Department of Defense, 1969)"
0.375761765,34.37528846,"(Department of Defense, 1969)"
0.506293184,22.69397793,"(Department of Defense, 1969)"
0.753679466,18.28139723,"(Department of Defense, 1969)"
1.260229963,17.09670321,"(Department of Defense, 1969)"
1.755930281,17.08989249,"(Department of Defense, 1969)"
2.528974941,15.98527775,"(Department of Defense, 1969)"
3.764914214,13.76092861,"(Department of Defense, 1969)"
5.073900131,11.6525241,"(Department of Defense, 1969)"
7.551993835,7.951458064,"(Department of Defense, 1969)"
12.62318674,4.993177147,"(Department of Defense, 1969)"
17.58341319,3.641389565,"(Department of Defense, 1969)"
25.31842083,2.61175725,"(Department of Defense, 1969)"
50.78286511,1.412222226,"(Department of Defense, 1969)"
0.408256815,34.9470314,"(Kingery, 1966)"
0.489847871,26.79167871,"(Kingery, 1966)"
0.578120778,22.3169177,"(Kingery, 1966)"
0.66006948,19.53922796,"(Kingery, 1966)"
0.741260455,17.68494195,"(Kingery, 1966)"
0.818770366,16.54713951,"(Kingery, 1966)"
0.982579652,15.48099811,"(Kingery, 1966)"
1.140741227,15.22347819,"(Kingery, 1966)"
1.324400959,15.47544763,"(Kingery, 1966)"
1.487529395,16.53527617,"(Kingery, 1966)"
1.643343004,18.56991586,"(Kingery, 1966)"
2.14305144,21.55441782,"(Kingery, 1966)"
2.446938968,19.83494878,"(Kingery, 1966)"
2.888061568,17.65607506,"(Kingery, 1966)"
3.297395437,15.20408031,"(Kingery, 1966)"
4.090129008,12.6639295,"(Kingery, 1966)"
4.989920402,10.37476494,"(Kingery, 1966)"
5.792606865,9.235278596,"(Kingery, 1966)"
7.427331314,7.440919862,"(Kingery, 1966)"
8.20372517,6.734905684,"(Kingery, 1966)"
9.844140852,5.703800816,"(Kingery, 1966)"
11.42751412,4.993774033,"(Kingery, 1966)"
13.04756082,4.445383919,"(Kingery, 1966)"
14.89727701,3.957215135,"(Kingery, 1966)"
16.45451929,3.581744085,"(Kingery, 1966)"
21.45032303,2.791567461,"(Kingery, 1966)"
24.90048376,2.444064502,"(Kingery, 1966)"
28.90515104,2.104602101,"(Kingery, 1966)"
33.00246031,1.842651426,"(Kingery, 1966)"
37.06133058,1.640333774,"(Kingery, 1966)"
40.93542589,1.484694562,"(Kingery, 1966)"
49.12013371,1.236695417,"(Kingery, 1966)"
57.01997189,1.064927612,"(Kingery, 1966)"
66.19130546,0.932362126,"(Kingery, 1966)"
82.10081214,0.73887565,"(Kingery, 1966)"
100.1622484,0.605314582,"(Kingery, 1966)"
2.005582676,22.65648348,"(Reisler et al., 1976, 1977)"
2.487897591,20.1664582,"(Reisler et al., 1976, 1977)"
2.985288017,16.52144636,"(Reisler et al., 1976, 1977)"
3.465040163,12.66645268,"(Reisler et al., 1976, 1977)"
4.022552192,11.65577456,"(Reisler et al., 1976, 1977)"
4.443236813,11.08836793,"(Reisler et al., 1976, 1977)"
5.987883088,9.082920177,"(Reisler et al., 1976, 1977)"
6.950584118,7.441512844,"(Reisler et al., 1976, 1977)"
7.93571183,6.40806966,"(Reisler et al., 1976, 1977)"
8.911700425,5.70448265,"(Reisler et al., 1976, 1977)"
10.0080219,5.249521295,"(Reisler et al., 1976, 1977)"
12.00904505,4.372656229,"(Reisler et al., 1976, 1977)"
13.94042238,3.765326766,"(Reisler et al., 1976, 1977)"
15.91624142,3.242415449,"(Reisler et al., 1976, 1977)"
17.87373061,2.886407866,"(Reisler et al., 1976, 1977)"
20.07226523,2.612485798,"(Reisler et al., 1976, 1977)"
24.8963915,2.036261124,"(Reisler et al., 1976, 1977)"
0.293101968,50.36649382,"(Swisdak, 1975)"
0.37575615,33.80953143,"(Swisdak, 1975)"
0.532113419,22.31914082,"(Swisdak, 1975)"
0.671068061,18.28394685,"(Swisdak, 1975)"
0.874812958,14.25028418,"(Swisdak, 1975)"
1.015627796,14.01323667,"(Swisdak, 1975)"
1.198845761,14.01044521,"(Swisdak, 1975)"
1.324321807,14.48152913,"(Swisdak, 1975)"
1.48737382,14.72180486,"(Swisdak, 1975)"
1.698437652,14.96576907,"(Swisdak, 1975)"
1.876146939,14.96398027,"(Swisdak, 1975)"
2.072450133,14.96219168,"(Swisdak, 1975)"
2.40604342,14.71330189,"(Swisdak, 1975)"
2.887500641,14.22985826,"(Swisdak, 1975)"
3.189527503,13.76367036,"(Swisdak, 1975)"
3.702876551,13.31195972,"(Swisdak, 1975)"
4.298527111,11.84987394,"(Swisdak, 1975)"
5.332104132,10.20320137,"(Swisdak, 1975)"
5.889567683,9.389631498,"(Swisdak, 1975)"
6.613907353,8.358677857,"(Swisdak, 1975)"
8.069027723,6.962329439,"(Swisdak, 1975)"
9.061277035,6.09588,"(Swisdak, 1975)"
10.69432188,5.162711943,"(Swisdak, 1975)"
13.7121484,4.091168065,"(Swisdak, 1975)"
16.72919696,3.464746792,"(Swisdak, 1975)"
