x,y,Reference
0.136,296.879,REF 9
0.177,192.859,REF 9
0.251,91.418,REF 9
0.378,34.135,REF 9
0.503,22.716,REF 9
0.758,18.237,REF 9
1.265,16.99,REF 9
1.78,16.984,REF 9
2.533,15.95,REF 9
3.768,13.647,REF 9
5.067,11.521,REF 9
7.611,7.94,REF 9
12.673,4.984,REF 9
17.748,3.619,REF 9
25.402,2.61,REF 9
50.927,1.405,REF 9
0.409,34.878,REF 2
0.494,26.547,REF 2
0.574,22.145,REF 2
0.656,19.219,REF 2
0.742,17.548,REF 2
0.822,16.373,REF 2
0.988,15.467,REF 2
1.154,15.126,REF 2
1.321,15.5,REF 2
1.482,16.338,REF 2
1.645,18.351,REF 2
2.139,21.543,REF 2
2.479,19.437,REF 2
2.884,17.421,REF 2
3.313,15.167,REF 2
4.093,12.399,REF 2
7.409,7.315,REF 2
9.9,5.66,REF 2
11.556,4.928,REF 2
13.188,4.396,REF 2
14.838,3.924,REF 2
16.488,3.565,REF 2
21.461,2.759,REF 2
24.807,2.426,REF 2
28.996,2.066,REF 2
33.155,1.829,REF 2
37.324,1.629,REF 2
41.319,1.472,REF 2
49.643,1.22,REF 2
57.814,1.05,REF 2
66.048,0.923,REF 2
82.596,0.745,REF 2
99.519,0.602,REF 2
2.003,22.546,REF 6 & 7
2.995,16.406,REF 6 & 7
3.503,12.489,REF 6 & 7
4.004,11.508,REF 6 & 7
4.502,10.951,REF 6 & 7
6.052,9.04,REF 6 & 7
7.02,7.376,REF 6 & 7
8.017,6.367,REF 6 & 7
9,5.714,REF 6 & 7
10.035,5.184,REF 6 & 7
12.051,4.311,REF 6 & 7
14.062,3.701,REF 6 & 7
16.075,3.196,REF 6 & 7
18.095,2.856,REF 6 & 7
20.128,2.603,REF 6 & 7
25.157,2.005,REF 6 & 7
0.294,50.338,REF 8
0.378,33.566,REF 8
0.537,22.077,REF 8
0.67,18.115,REF 8
0.879,14.297,REF 8
1.014,13.907,REF 8
1.196,13.921,REF 8
1.319,14.562,REF 8
1.477,14.622,REF 8
1.711,14.852,REF 8
1.867,14.942,REF 8
2.09,14.911,REF 8
2.398,14.697,REF 8
2.905,14.16,REF 8
3.203,13.725,REF 8
3.639,13.213,REF 8
3.923,12.59,REF 8
4.316,11.83,REF 8
5.356,10.061,REF 8
5.819,9.243,REF 8
6.713,8.328,REF 8
8.185,6.876,REF 8
9.175,6.09,REF 8
10.687,5.166,REF 8
13.752,4.006,REF 8
16.64,3.447,REF 8
