x,y
0.372,0.161
0.379,0.159
0.387,0.158
0.394,0.157
0.404,0.156
0.411,0.155
0.419,0.153
0.429,0.152
0.436,0.151
0.446,0.150
0.454,0.149
0.462,0.148
0.473,0.148
0.482,0.146
0.494,0.145
0.505,0.144
0.517,0.144
0.528,0.143
0.538,0.142
0.549,0.141
0.561,0.140
0.574,0.140
0.586,0.139
0.599,0.139
0.611,0.138
0.624,0.138
0.638,0.138
0.651,0.138
0.666,0.138
0.679,0.138
0.693,0.138
0.707,0.138
0.723,0.139
0.738,0.139
0.752,0.140
0.764,0.141
0.778,0.142
0.791,0.143
0.804,0.144
0.819,0.145
0.830,0.147
0.844,0.148
0.859,0.150
0.872,0.151
0.884,0.153
0.896,0.154
0.911,0.156
0.923,0.158
0.936,0.160
0.947,0.161
0.958,0.163
0.970,0.165
0.980,0.167
0.989,0.169
1.002,0.171
1.012,0.173
1.021,0.176
1.033,0.178
1.045,0.179
1.052,0.182
1.063,0.184
1.071,0.186
1.082,0.188
1.092,0.191
1.101,0.193
1.112,0.196
1.123,0.198
1.132,0.200
1.141,0.203
1.151,0.205
1.158,0.209
1.165,0.211
1.169,0.213
1.182,0.216
1.192,0.218
1.203,0.222
1.212,0.225
1.222,0.228
1.230,0.231
1.238,0.234
1.252,0.238
1.260,0.241
1.265,0.244
1.276,0.247
1.289,0.251
1.295,0.254
1.309,0.259
1.319,0.262
1.325,0.266
1.331,0.270
1.333,0.273
1.339,0.277
1.350,0.281
1.358,0.284
1.366,0.288
1.371,0.292
1.381,0.296
1.391,0.301
1.405,0.305
1.410,0.310
1.422,0.314
1.428,0.318
1.435,0.323
1.441,0.327
1.453,0.332
1.455,0.337
1.469,0.341
1.475,0.347
1.487,0.351
1.492,0.356
1.501,0.363
1.505,0.368
1.511,0.373
1.517,0.377
1.526,0.383
1.530,0.388
1.537,0.393
1.541,0.399
1.548,0.404
1.555,0.411
1.561,0.416
1.566,0.423
1.575,0.430
1.580,0.436
1.593,0.444
1.603,0.451
1.618,0.459
1.620,0.466
1.630,0.473
1.635,0.480
1.648,0.488
1.654,0.495
1.659,0.503
1.667,0.512
1.672,0.519
1.681,0.529
1.694,0.538
1.703,0.546
1.711,0.553
1.716,0.562
1.724,0.571
1.733,0.579
1.737,0.588
1.741,0.598
1.746,0.606
1.759,0.616
1.758,0.624
1.763,0.636
1.770,0.647
1.783,0.657
1.785,0.664
1.792,0.675
1.802,0.685
1.813,0.695
1.818,0.705
1.818,0.714
1.830,0.723
1.843,0.733
1.841,0.745
1.851,0.757
1.864,0.768
1.869,0.780
1.871,0.790
1.887,0.802
1.893,0.816
1.901,0.826
1.906,0.840
1.917,0.851
1.926,0.863
1.930,0.875
1.935,0.885
1.945,0.897
1.952,0.911
1.964,0.920
1.973,0.931
1.983,0.945
1.984,0.960
1.996,0.971
2.007,0.985
2.016,0.999
2.023,1.012
2.027,1.027
2.041,1.040
2.052,1.056
2.065,1.070
2.068,1.083
2.072,1.098
2.078,1.113
2.091,1.129
2.103,1.146
2.119,1.160
2.127,1.177
2.146,1.189
2.161,1.206
2.185,1.216
2.211,1.229
2.235,1.245
2.261,1.258
2.286,1.272
2.311,1.285
2.342,1.301
2.377,1.312
2.419,1.324
2.461,1.337
2.491,1.344
2.526,1.355
2.576,1.366
2.630,1.374
2.689,1.378
2.743,1.379
2.799,1.378
2.863,1.377
2.942,1.373
3.002,1.364
3.064,1.357
3.123,1.345
3.184,1.333
3.256,1.324
3.331,1.318
3.397,1.307
3.485,1.299
3.563,1.287
3.653,1.278
3.738,1.275
3.829,1.276
3.926,1.277
4.028,1.276
4.111,1.276
4.210,1.280
4.296,1.289
4.398,1.294
4.493,1.302
4.582,1.314
4.666,1.325
4.750,1.337
4.833,1.349
4.901,1.360
4.968,1.379
5.045,1.396
5.113,1.415
5.186,1.435
5.269,1.456
5.337,1.473
5.399,1.495
5.459,1.513
