d_ft,ip_psi,ii_psi-ms,rp_psi,ri_psi-ms,sv_ft_per_ms,at_ms,ppd_ms
1.34E-1,7.10E3,2.90E2,9.02E4,8.94E3,2.17E1,5.93E-3,NaN
1.40E-1,6.93E3,2.70E2,8.71E4,8.12E3,2.15E1,6.18E-3,NaN
1.60E-1,6.37E3,2.14E2,7.88E4,6.11E3,2.06E1,7.08E-3,NaN
1.80E-1,5.87E3,1.71E2,7.20E4,4.78E3,1.98E1,8.06E-3,NaN
2.00E-1,5.42E-3,1.39E2,6.61E4,3.85E3,1.90E1,9.10E-3,NaN
2.50E-1,4.50E3,8.79E1,5.39E4,2.47E3,1.74E1,1.19E-2,NaN
3.00E-1,3.82E3,6.08E1,4.44E4,1.75E3,1.61E1,1.50E-2,NaN
3.50E-1,3.29E3,4.53E1,3.71E4,1.31E3,1.50E1,1.82E-2,NaN
4.00E-1,2.87E3,3.58E1,3.13E4,1.03E3,1.40E1,2.17E-2,1.57E-1
4.50E-1,2.53E3,2.96E1,2.68E4,8.38E2,1.31E1,2.53E-2,1.51E-1
5.00E-1,2.24E3,2.54E1,2.31E4,6.98E2,1.24E1,2.92E-2,1.46E-1
6.00E-1,1.79E3,2.04E1,1.76E4,5.14E2,1.11E1,3.76E-2,1.40E-1
7.00E-1,1.46E3,1.77E1,1.38E4,3.99E2,1.00E1,4.70E-2,1.40E-1
8.00E-1,1.20E3,1.63E1,1.10E4,3.23E2,9.15E0,5.73E-2,1.45E-1
9.00E-1,1.00E3,1.55E1,8.83E3,2.69E2,8.40E0,6.86E-2,1.57E-1
1.00E0,8.45E2,1.52E1,7.19E3,2.29E2,7.75E0,8.10E-2,1.73E-1
1.20E0,6.16E2,1.55E1,4.91E3,1.74E2,6.68E0,1.09E-1,2.24E-1
1.40E0,4.63E2,1.65E1,3.46E3,1.39E2,5.84E0,1.42E-1,3.09E-1
1.60E0,3.56E2,1.80E1,2.50E3,1.15E2,5.17E0,1.79E-1,4.54E-1
1.80E0,2.80E2,1.98E1,1.85E3,9.78E1,4.62E0,2.20E-1,6.91E-1
2.00E0,2.25E2,2.18E1,1.39E3,8.47E1,4.17E0,2.66E-1,1.01E0
2.50E0,1.38E2,1.96E1,7.44E2,6.30E1,3.35E0,4.02E-1,1.37E0
3.00E0,9.17E1,1.67E1,4.36E2,4.98E1,2.80E0,5.66E-1,1.38E0
3.50E0,6.45E1,1.44E1,2.75E2,4.10E1,2.43E0,7.57E-1,1.31E0
4.00E0,4.76E1,1.27E1,1.85E2,3.47E1,2.17E0,9.73E-1,1.29E0
4.50E0,3.64E1,1.14E1,1.30E2,3.01E1,1.97E0,1.21E0,1.32E0
5.00E0,2.88E1,1.03E1,9.59E1,2.65E1,1.83E0,1.47E0,1.41E0
6.00E0,1.93E1,8.79E0,5.74E1,2.14E1,1.63E0,2.05E0,1.73E0
7.00E0,1.39E1,7.67E3,3.81E1,1.79E1,1.50E0,2.68E0,1.97E0
8.00E0,1.06E1,6.82E0,2.72E1,1.54E1,1.42E0,3.37E0,2.13E0
9.00E0,8.37E0,6.14E0,2.06E1,1.35E1,1.36E0,4.09E0,2.25E0
1.00E1,6.86E0,5.59E0,1.63E1,1.20E1,1.32E0,4.85E0,2.35E0
1.20E1,4.94E0,4.74E2,1.12E1,9.80E0,1.27E0,6.42E0,2.52E0
1.40E1,3.81E0,4.11E0,8.37E0,8.28E0,1.23E0,8.05E0,2.66E0
1.60E1,3.08E0,3.62E0,6.66E0,7.17E0,1.21E0,9.71E0,2.79E0
1.80E1,2.58E0,3.24E0,5.52E0,6.32E0,1.20E0,1.14E1,2.90E0
2.00E1,2.21E0,2.94E0,4.70E0,5.65E0,1.19E0,1.31E1,3.00E0
2.50E1,1.63E0,2.37E0,3.42E0,4.46E0,1.17E0,1.73E1,3.22E0
3.00E1,1.28E0,1.99E0,2.67E0,3.69E0,1.16E0,2.15E1,3.40E0
3.50E1,1.05E0,1.72E0,2.17E0,3.14E0,1.15E0,2.58E1,3.56E0
4.00E1,8.79E-1,1.51E0,1.81E0,2.73E0,1.14E0,3.01E1,3.70E0
4.50E1,7.52E-1,1.34E0,1.53E0,2.41E0,1.14E0,3.44E1,3.82E0
5.00E1,6.53E-1,1.21E0,1.33E0,2.16E0,1.14E0,3.88E1,3.94E0
6.00E1,5.08E-1,1.10E0,1.03E0,1.78E0,1.13E0,4.77E1,4.15E0
7.00E1,4.10E-1,8.63E-1,8.26E-1,1.51E0,1.13E0,5.68E1,4.32E0
8.00E1,3.40E-1,7.54E-1,6.87E-1,1.31E0,1.13E0,6.59E1,4.46E0
9.00E1,2.89E-1,6.67E-1,5.86E-1,1.15E0,1.13E0,7.48E1,4.60E0
1.00E2,2.52E-1,5.96E-1,5.10E-1,1.03E0,1.13E0,8.34E1,4.73E0
