scaled_dist,scaled_ii,detonation
4.75,14.47,5-Ton TNT
4.75,16.17,5-Ton TNT
7.46,10.21,5-Ton TNT
7.46,11.58,5-Ton TNT
9.49,9.23,5-Ton TNT
20.34,4.95,5-Ton TNT
35.62,2.55,5-Ton TNT
42.49,2.16,5-Ton TNT
42.49,2.17,5-Ton TNT
42.49,2.2,5-Ton TNT
81.36,1.07,5-Ton TNT
81.36,1.12,5-Ton TNT
81.36,1.18,5-Ton TNT
316.4,0.34,5-Ton TNT
2.34,29.24,20-Ton TNT
3.11,20.06,20-Ton TNT
3.11,20.68,20-Ton TNT
3.11,21.24,20-Ton TNT
4.2,18.49,20-Ton TNT
4.2,21.83,20-Ton TNT
5.77,12.13,20-Ton TNT
5.77,12.19,20-Ton TNT
5.77,13.26,20-Ton TNT
5.77,13.81,20-Ton TNT
8.28,9.05,20-Ton TNT
8.28,9.05,20-Ton TNT
8.28,9.13,20-Ton TNT
8.28,9.15,20-Ton TNT
8.28,9.63,20-Ton TNT
8.28,10.36,20-Ton TNT
8.28,10.92,20-Ton TNT
11.71,6.61,20-Ton TNT
11.71,6.86,20-Ton TNT
11.71,6.89,20-Ton TNT
11.71,7.14,20-Ton TNT
11.71,7.41,20-Ton TNT
17.56,4.04,20-Ton TNT
17.56,4.85,20-Ton TNT
17.56,4.87,20-Ton TNT
17.56,4.87,20-Ton TNT
17.56,4.9,20-Ton TNT
17.56,4.94,20-Ton TNT
17.56,5.09,20-Ton TNT
17.56,5.63,20-Ton TNT
35.13,2.4,20-Ton TNT
35.13,2.44,20-Ton TNT
35.13,2.49,20-Ton TNT
58.55,1.3,20-Ton TNT
58.55,1.35,20-Ton TNT
199.9,0.42,20-Ton TNT
199.9,0.43,20-Ton TNT
428.4,0.18,20-Ton TNT
4.36,18.97,100-Ton TNT
4.99,14.72,100-Ton TNT
5.02,13.32,100-Ton TNT
5.57,12.01,100-Ton TNT
5.57,15.3,100-Ton TNT
5.84,12.25,100-Ton TNT
6.11,12.31,100-Ton TNT
6.84,11.93,100-Ton TNT
6.89,12.53,100-Ton TNT
7.39,10.27,100-Ton TNT
7.39,10.47,100-Ton TNT
7.76,9.58,100-Ton TNT
8.76,8.7,100-Ton TNT
9.51,8.82,100-Ton TNT
14.07,5.84,100-Ton TNT
17.02,4.96,100-Ton TNT
46.73,1.83,100-Ton TNT
46.73,1.73,100-Ton TNT
116.8,0.71,100-Ton TNT
166.9,0.46,100-Ton TNT
166.9,0.51,100-Ton TNT
250.4,0.29,100-Ton TNT
0.49,44.6,500-Ton TNT
0.79,24,500-Ton TNT
1.71,19.3,500-Ton TNT
2.97,27.2,500-Ton TNT
2.97,28.4,500-Ton TNT
3.46,21.3,500-Ton TNT
3.46,23.9,500-Ton TNT
4.14,14.3,500-Ton TNT
4.53,15.2,500-Ton TNT
5.55,11.3,500-Ton TNT
5.55,13.4,500-Ton TNT
6.13,10.3,500-Ton TNT
6.72,11.2,500-Ton TNT
7.8,9.01,500-Ton TNT
7.8,10,500-Ton TNT
7.8,10.5,500-Ton TNT
9.35,8.14,500-Ton TNT
9.35,8.85,500-Ton TNT
14.1,5.42,500-Ton TNT
37.9,2.3,500-Ton TNT
99,0.95,500-Ton TNT
250.4,0.29,500-Ton TNT
