scaled_dist,scaled_ppd,detonation
1.49,0.34,5-Ton TNT
1.72,0.44,5-Ton TNT
2.26,1.24,5-Ton TNT
2.26,1.24,5-Ton TNT
3.16,1.81,5-Ton TNT
3.16,2.03,5-Ton TNT
3.16,2.14,5-Ton TNT
4.75,1.62,5-Ton TNT
4.75,1.71,5-Ton TNT
4.75,1.81,5-Ton TNT
4.75,1.99,5-Ton TNT
4.75,1.85,5-Ton TNT
6.01,1.85,5-Ton TNT
6.01,1.94,5-Ton TNT
7.46,2.26,5-Ton TNT
7.46,2.35,5-Ton TNT
7.46,2.44,5-Ton TNT
7.46,2.44,5-Ton TNT
9.49,2.71,5-Ton TNT
20.34,3.93,5-Ton TNT
35.62,4.5,5-Ton TNT
42.49,4.28,5-Ton TNT
42.49,4.28,5-Ton TNT
42.49,4.36,5-Ton TNT
81.36,5.19,5-Ton TNT
81.36,5.19,5-Ton TNT
81.36,5.42,5-Ton TNT
81.36,5.42,5-Ton TNT
153.7,5.64,5-Ton TNT
153.7,6.32,5-Ton TNT
316.4,8.15,5-Ton TNT
316.4,6.32,5-Ton TNT
1.14,0.19,20-Ton TNT
1.14,0.2,20-Ton TNT
1.28,0.16,20-Ton TNT
1.28,0.23,20-Ton TNT
2.34,1.03,20-Ton TNT
2.34,1.27,20-Ton TNT
3.11,1.13,20-Ton TNT
3.11,1.25,20-Ton TNT
3.11,1.33,20-Ton TNT
3.11,1.56,20-Ton TNT
3.11,1.62,20-Ton TNT
4.2,1.25,20-Ton TNT
4.2,1.27,20-Ton TNT
4.2,1.29,20-Ton TNT
4.2,1.32,20-Ton TNT
4.2,1.64,20-Ton TNT
4.2,1.88,20-Ton TNT
4.2,1.91,20-Ton TNT
5.77,1.51,20-Ton TNT
5.77,1.58,20-Ton TNT
5.77,1.6,20-Ton TNT
5.77,1.62,20-Ton TNT
5.77,1.72,20-Ton TNT
5.77,1.94,20-Ton TNT
8.28,2.19,20-Ton TNT
8.28,2.24,20-Ton TNT
8.28,2.27,20-Ton TNT
8.28,2.32,20-Ton TNT
8.28,2.33,20-Ton TNT
8.28,2.51,20-Ton TNT
8.28,2.58,20-Ton TNT
11.71,2.76,20-Ton TNT
11.71,2.83,20-Ton TNT
11.71,2.99,20-Ton TNT
11.71,3.03,20-Ton TNT
11.71,3.04,20-Ton TNT
17.56,3.17,20-Ton TNT
17.56,3.26,20-Ton TNT
17.56,3.24,20-Ton TNT
17.56,3.28,20-Ton TNT
17.56,3.35,20-Ton TNT
17.56,3.41,20-Ton TNT
17.56,3.42,20-Ton TNT
35.13,4.09,20-Ton TNT
35.13,4.16,20-Ton TNT
58.55,4.2,20-Ton TNT
58.55,4.55,20-Ton TNT
35.13,4.7,20-Ton TNT
199.9,6.02,20-Ton TNT
199.9,6.76,20-Ton TNT
428.4,7.6,20-Ton TNT
428.4,8.05,20-Ton TNT
428.4,8.34,20-Ton TNT
428.4,8.34,20-Ton TNT
428.4,8.43,20-Ton TNT
3.4,1.3,100-Ton TNT
4.36,1.74,100-Ton TNT
4.66,2,100-Ton TNT
4.99,1.69,100-Ton TNT
5.02,1.64,100-Ton TNT
5.02,1.67,100-Ton TNT
5.57,2.1,100-Ton TNT
6.11,1.87,100-Ton TNT
6.84,2.09,100-Ton TNT
6.89,1.74,100-Ton TNT
6.89,1.81,100-Ton TNT
6.89,2.04,100-Ton TNT
7.39,2.04,100-Ton TNT
7.39,2.09,100-Ton TNT
7.39,2.1,100-Ton TNT
7.76,1.86,100-Ton TNT
8.76,2.26,100-Ton TNT
9.51,2.51,100-Ton TNT
14.07,3.03,100-Ton TNT
17.02,3.15,100-Ton TNT
46.73,4.3,100-Ton TNT
46.73,4.33,100-Ton TNT
116.8,5.74,100-Ton TNT
116.8,5.81,100-Ton TNT
166.9,5.71,100-Ton TNT
166.9,5.83,100-Ton TNT
250.4,6.09,100-Ton TNT
0.49,0.19,500-Ton TNT
0.79,0.18,500-Ton TNT
1.71,0.29,500-Ton TNT
2.97,1.33,500-Ton TNT
2.97,1.56,500-Ton TNT
3.46,1.31,500-Ton TNT
4.14,1.23,500-Ton TNT
3.46,1.31,500-Ton TNT
4.53,1.36,500-Ton TNT
5.55,1.27,500-Ton TNT
5.55,1.56,500-Ton TNT
6.13,1.26,500-Ton TNT
6.72,2.01,500-Ton TNT
7.8,1.76,500-Ton TNT
7.8,2.11,500-Ton TNT
7.8,2.31,500-Ton TNT
9.35,2.23,500-Ton TNT
9.35,2.31,500-Ton TNT
14.1,2.76,500-Ton TNT
99,5.22,500-Ton TNT
