scaled_distance,positive_phase_duration,reference
2.036951847,0.755295383,"(Reisler et al., 1976, 1977)"
2.277968444,0.965587046,"(Reisler et al., 1976, 1977)"
2.509929308,0.938514907,"(Reisler et al., 1976, 1977)"
3.047116524,0.886626411,"(Reisler et al., 1976, 1977)"
3.522768835,0.926387818,"(Reisler et al., 1976, 1977)"
4.072395632,0.981991962,"(Reisler et al., 1976, 1977)"
4.557320417,1.086809124,"(Reisler et al., 1976, 1977)"
5.018676731,1.18551329,"(Reisler et al., 1976, 1977)"
6.087052825,1.370524732,"(Reisler et al., 1976, 1977)"
7.033917851,1.584088822,"(Reisler et al., 1976, 1977)"
8.953926012,1.858278078,"(Reisler et al., 1976, 1977)"
10.18384024,2.027320382,"(Reisler et al., 1976, 1977)"
12.1581234,2.180514313,"(Reisler et al., 1976, 1977)"
14.05315487,2.379029847,"(Reisler et al., 1976, 1977)"
16.24793532,2.450130048,"(Reisler et al., 1976, 1977)"
18.18757708,2.559662913,"(Reisler et al., 1976, 1977)"
20.03282988,2.673912241,"(Reisler et al., 1976, 1977)"
25.10634148,2.794767286,"(Reisler et al., 1976, 1977)"
1.329214994,0.112362253,"(Swisdak, 1975)"
1.485589354,0.163554076,"(Swisdak, 1975)"
1.714135494,0.259620148,"(Swisdak, 1975)"
1.886138647,0.336702743,"(Swisdak, 1975)"
2.10916856,0.436700994,"(Swisdak, 1975)"
2.396784056,0.574663878,"(Swisdak, 1975)"
2.903878888,0.836760485,"(Swisdak, 1975)"
3.196557797,0.995249272,"(Swisdak, 1975)"
3.632944067,1.272435379,"(Swisdak, 1975)"
3.93667136,1.387904618,"(Swisdak, 1975)"
4.334612577,1.558255338,"(Swisdak, 1975)"
5.01225512,1.559200687,"(Swisdak, 1975)"
5.434226617,1.515383296,"(Swisdak, 1975)"
5.891723031,1.472797283,"(Swisdak, 1975)"
6.70327025,1.494995991,"(Swisdak, 1975)"
8.130810573,1.703560464,"(Swisdak, 1975)"
9.247661392,1.858528544,"(Swisdak, 1975)"
10.68761185,2.087065294,"(Swisdak, 1975)"
11.9618625,2.244168837,"(Swisdak, 1975)"
13.82630367,2.448479523,"(Swisdak, 1975)"
16.50339379,2.749931077,"(Swisdak, 1975)"
19.07698832,2.957330295,"(Swisdak, 1975)"
22.05043184,3.226567695,"(Swisdak, 1975)"
27.62188836,3.730609257,"(Swisdak, 1975)"
38.12186616,4.253352886,"(Swisdak, 1975)"
45.51233544,4.574756378,"(Swisdak, 1975)"
57.03109605,4.92144147,"(Swisdak, 1975)"
0.137234227,0.038285773,"(Defense Atomic Support Agency, 1973)"
0.180546773,0.038886412,"(Defense Atomic Support Agency, 1973)"
0.253352146,0.040080978,"(Defense Atomic Support Agency, 1973)"
0.379198853,0.041923616,"(Defense Atomic Support Agency, 1973)"
0.506789859,0.046432921,"(Defense Atomic Support Agency, 1973)"
0.758168055,0.053726297,"(Defense Atomic Support Agency, 1973)"
1.268696631,0.076108584,"(Defense Atomic Support Agency, 1973)"
1.777181273,0.114132716,"(Defense Atomic Support Agency, 1973)"
2.564554776,0.296098615,"(Defense Atomic Support Agency, 1973)"
3.823206122,0.725219423,"(Defense Atomic Support Agency, 1973)"
5.102394425,1.087321906,"(Defense Atomic Support Agency, 1973)"
7.623519914,1.654682359,"(Defense Atomic Support Agency, 1973)"
12.7569791,2.344020302,"(Defense Atomic Support Agency, 1973)"
17.89036939,2.750857788,"(Defense Atomic Support Agency, 1973)"
25.50451355,3.047561455,"(Defense Atomic Support Agency, 1973)"
51.01076552,3.633841833,"(Defense Atomic Support Agency, 1973)"
