".487",".190y",".1911","-  . 0 0 1","-.00565?"
".789",".1760",".17C0",".006",".035294"
"14142",".1998",".1976",".002",".011338"
"1.142",".1851",".1976","-   . 0 1 2","- . 0 6 3 0 6 9"
"1.285",".2262",".2267",".000","-.002206"
"1.285","41586",".2217","-   . 0 6 8","-.300397"
"1.492",".3386",".2854",".053",".186239"
"1.71C",".2860",".3805","-   . 0 9 4","-.248357"
"1.718",".4424",".3849",".058",".149389"
"2.260","1.2640",".9595",".305",".317353"
"2.260","1.2410",".9595",".282",".293382"
"2.342","1.0340","1.0886","-   . 0 5 5","- . 0 5 0 2 0 0"
"2.342","1.2660","1.0886",".177",".162908"
"2.970","1.5600","1.6495","-   . 0 8 9","- . 0 5 4 2 5 9"
"2.970","1.3300","1.6495","-   . 3 1 9","- . 1 9 3 6 9 5"
"3.113","1.6200","1.6781","-  . 0 5 8","-.034611"
"3.113","1.2510","1.6781","-   . 4 2 7","- . 2 5 4 5 0 5"
"3.113","1.1280","1.6781","-   . 5 5 0","- . 3 2 7 8 0 3"
"3.113","1.3310","1.6781","-   . 3 4 7","- . 2 0 6 8 3 2"
"3.113","1.5630","1.6781","-   . 1 1 5","-.068578"
"3.164","1.8060","1.6862",".120",".0/1022"
"3.164","2.0310","1.6862",".345",".204455"
"3.164","2.1400","1.6862",".454",".269096"
"3.405","1.3050","1.7000","-   . 3 9 5","- . 2 3 2 3 5 3"
"3.460","1.3100","1.7000","-   . 3 9 0","-.229412"
"3.460","1.3600","1.7000","-   . 3 4 0","- . 2 0 0 0 0 0"
"4.140","1.2300","1.6016","-   . 3 7 2","-.232018"
"4.198","1.9100","1.5981",".312",".195154"
"4.198","1.8800","1.5981",".282",".176382"
"4.198","1.2720","1.5981","-   . 3 2 6","- . 2 0 4 0 6 5"
"4.198","1.2480","1.5981","-   . 3 5 0","- . 2 1 9 0 8 2"
"4.198","1.6390","1.5981",".041",".025580"
"4.198","1.2950","1.5981","-   . 3 0 3","- . 1 8 9 6 7 3"
"4.198","1.3160","1.5981","-   . 2 8 2","-.176532"
"4.356","1.7400","1.5886",".151",".095276"
"4.530","1.3600","1.5794","-   . 2 1 9","- . 1 3 8 9 1 4"
"4.657","2.0010","1.5769",".424",".268978"
"4.746","1.8100","1.5751",".235",".149148"
"4.746","1.7150","1.5751",".140",".088834"
"4.746","1.9900","1.5751",".415",".263428"
"4.746","1.6250","1.5751",".050",".031694"
"4.746","1.8060","1.5751",".231",".146608"
