scaled_distance,y,y0,y-y0,y-y0/y0
0.487,0.19,0.1911,-0.0011,-0.005756
0.789,0.176,0.17,0.006,0.035294
1.142,0.1998,0.1976,0.0022,0.011134
1.142,0.1851,0.1976,-0.0125,-0.063259
1.285,0.2262,0.2267,-0.0005,-0.002206
1.285,0.1586,0.2267,-0.0681,-0.300397
1.492,0.3386,0.2854,0.0532,0.186405
1.71,0.286,0.3805,-0.0945,-0.248357
1.718,0.4424,0.3849,0.0575,0.149389
2.26,1.264,0.9595,0.3045,0.317353
2.26,1.241,0.9595,0.2815,0.293382
2.342,1.034,1.0886,-0.0546,-0.050156
2.342,1.266,1.0886,0.1774,0.162962
2.97,1.56,1.6495,-0.0895,-0.054259
2.97,1.33,1.6495,-0.3195,-0.193695
3.113,1.62,1.6781,-0.0581,-0.034622
3.113,1.251,1.6781,-0.4271,-0.254514
3.113,1.128,1.6781,-0.5501,-0.327811
3.113,1.331,1.6781,-0.3471,-0.206841
3.113,1.563,1.6781,-0.1151,-0.068589
3.164,1.806,1.6862,0.1198,0.071047
3.164,2.031,1.6862,0.3448,0.204483
3.164,2.14,1.6862,0.4538,0.269126
3.405,1.305,1.7,-0.395,-0.232353
3.46,1.31,1.7,-0.39,-0.229412
3.46,1.36,1.7,-0.34,-0.2
4.14,1.23,1.6016,-0.3716,-0.232018
4.198,1.91,1.5981,0.3119,0.195169
4.198,1.88,1.5981,0.2819,0.176397
4.198,1.272,1.5981,-0.3261,-0.204055
4.198,1.248,1.5981,-0.3501,-0.219073
4.198,1.639,1.5981,0.0409,0.025593
4.198,1.295,1.5981,-0.3031,-0.189663
4.198,1.316,1.5981,-0.2821,-0.176522
4.356,1.74,1.5886,0.1514,0.095304
4.53,1.36,1.5794,-0.2194,-0.138914
4.657,2.001,1.5769,0.4241,0.268945
4.746,1.81,1.5751,0.2349,0.149133
4.746,1.715,1.5751,0.1399,0.08882
4.746,1.99,1.5751,0.4149,0.263412
4.746,1.625,1.5751,0.0499,0.031681
4.746,1.806,1.5751,0.2309,0.146594
4.99,1.688,1.5702,0.1178,0.075022
5.024,1.67,1.5719,0.0981,0.062409
5.024,1.636,1.5719,0.0641,0.040779
5.55,1.56,1.619,-0.059,-0.036442
5.55,1.27,1.619,-0.349,-0.215565
5.574,2.105,1.6233,0.4817,0.296741
5.769,1.616,1.6584,-0.0424,-0.025567
5.769,1.721,1.6584,0.0626,0.037747
5.769,1.598,1.6584,-0.0604,-0.036421
5.769,1.942,1.6584,0.2836,0.171008
5.769,1.51,1.6584,-0.1484,-0.089484
